t_values,blh_ref
1519451699.9999998,190.03382332211686
1519452000.0,191.49384392161187
1519452300.0000002,192.17850287907868
1519452600.0,192.17850287907868
1519452900.0,192.1785028790787
1519453199.9999998,192.1785028790787
1519453500.0000002,192.17850287907868
1519453800.0,192.17850287907868
1519454100.0,192.17850287907868
1519454399.9999998,192.17850287907868
1519454700.0,192.1785028790787
1519455000.0000002,192.1785028790787
1519455300.0,192.1785028790787
1519455600.0,192.25530756961825
1519455899.9999998,194.99284618941482
1519456200.0000002,197.73038481573815
1519456500.0,200.46792343553471
1519456800.0,203.20546205750685
1519457099.9999998,205.94300067730342
1519457400.0,208.68053930145112
1519457700.0000002,211.41807792559888
1519458000.0,214.15561654539542
1519458300.0,216.89315516736755
1519458599.9999998,232.04570295181992
1519458900.0000002,249.81986678449687
1519459200.0,267.5940305747969
1519459500.0,285.3681943792226
1519459799.9999998,303.1423581695226
1519460100.0,320.9165219880739
1519460400.0000002,338.6906858066252
1519460700.0,356.4648495969252
1519461000.0,374.23901340135086
1519461299.9999998,392.01317719165087
1519461600.0000002,409.7873410243279
1519461900.0,427.5615048146278
1519462200.0,445.33566861905354
1519462499.9999998,461.6295607575319
1519462800.0,476.925014656903
1519463100.0000002,492.22046855627406
1519463400.0,507.5159224313337
1519463700.0,522.811376318549
1519463999.9999998,538.1068301936086
1519464300.0000002,553.4022841051355
1519464600.0,568.6977379801951
1519464900.0,583.9931918674105
1519465199.9999998,599.2886457424701
1519465500.0,614.5840996418411
1519465800.0000002,629.8795535412122
1519466100.0,650.6091365038624
1519466400.0,676.3742058868677
1519466699.9999998,702.1392752493969
1519467000.0000002,727.9043446733549
1519467300.0,753.6694140358841
1519467600.0,773.7122727086679
1519467899.9999998,790.3982223900022
1519468200.0,807.0841720978581
1519468500.0000002,823.7701218057139
1519468800.0,840.4560714870481
1519469100.0,857.1420211816433
1519469399.9999998,873.8279708629775
1519469700.0000002,890.5139205840942
1519470000.0,900.92926361368
1519470300.0,906.7693460062118
1519470599.9999998,912.6094283941023
1519470900.0,918.4495107912755
1519471200.0000002,923.073417752798
1519471500.0,924.3159884737719
1519471800.0,925.5585591957334
1519472099.9999998,926.8011299167072
1519472400.0000002,928.0437006406437
1519472700.0,929.2862713616175
1519473000.0,930.528842083579
1519473299.9999998,931.7714128045529
1519473600.0,933.0139835275019
1519473900.0000002,934.2565542504508
1519474200.0,935.4991249714247
1519474500.0,936.7416956933861
1519474799.9999998,937.9842664143599
1519475100.0000002,939.2268371382963
1519475400.0,940.0144869867731
1519475700.0,940.6492785512552
1519475999.9999998,941.2840701152326
1519476300.0,941.9188616802189
1519476600.0000002,942.5536532452053
1519476900.0,943.1884448091828
1519477200.0,943.8232363736647
1519477499.9999998,944.4580279376421
1519477800.0000002,945.092819503133
1519478100.0,945.7276110671104
1519478400.0,946.3624026315923
1519478699.9999998,946.9971941955697
1519479000.0,947.6319857605562
1519479300.0000002,946.6161920414003
1519479600.0,944.0770257854906
1519479900.0,941.537859527563
1519480199.9999998,938.9986932716532
1519480500.0000002,936.4595270096897
1519480800.0,933.92036075378
1519481100.0,931.3811944958525
1519481399.9999998,928.8420282399427
1519481700.0,926.3028619799971
1519482000.0000002,923.7636957200516
1519482300.0,921.2245294641419
1519482600.0,918.6853632062141
1519482899.9999998,916.1461969503046
